Symbol,Name,,,CASH_RATIO,CASH_RATIO,True Cash Ratio,RETURN_COM_EQY,PX_TO_BOOK_RATIO,PE_RATIO,SHORT_INT_RATIO,TOT_DEBT_TO_COM_EQY,IS_EPS,Last price,,
DLR,"Digital Realty Trust, Inc.",DLR US Equity,DLR UA Equity,0.0696,0.0696,0.0696,2.980380778,2.469554887,75.4515,5.806,101.7815,0.42,109.75,27/06/2017 17:00,114.9
DLR^C,"Digital Realty Trust, Inc.",DLR^C US Equity,DLR^C UA Equity,0.0711,0.0711,0.0711,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DLR^G,"Digital Realty Trust, Inc.",DLR^G US Equity,DLR^G UA Equity,0.0797,0.0797,0.0797,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DLR^H,"Digital Realty Trust, Inc.",DLR^H US Equity,DLR^H UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DLR^I,"Digital Realty Trust, Inc.",DLR^I US Equity,DLR^I UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DLR^J,"Digital Realty Trust, Inc.",DLR^J US Equity,DLR^J UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DDS,"Dillard&#39;s, Inc.",DDS US Equity,DDS UA Equity,0.244,0.244,0.244,13.97225439,1.538268555,11.609,8.946,43.4059,2.89,96.56,27/06/2017 17:00,57.1
DDT,"Dillard&#39;s, Inc.",DDT US Equity,DDT UA Equity,0.1203,0.1203,0.1203,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DIN,"Dine Brands Global, Inc.",DIN US Equity,DIN UA Equity,0.0752,0.0752,0.0752,null,null,8.9196,7.989,#N/A N/A,0.93,82.36,27/06/2017 17:00,50.72
DPLO,"Diplomat Pharmacy, Inc.",DPLO US Equity,DPLO UA Equity,0.1799,0.1799,0.1799,1.554740519,2.752577623,53.299,12.538,79.1008,-0.01,27.61,27/06/2017 17:00,19.87
DFS,Discover Financial Services,DFS US Equity,DFS UA Equity,0.1284,0.1284,0.1284,20.25630032,2.46104084,10.8817,2.264,254.7714,1.82,71.39,27/06/2017 17:00,75.09
DHCP,Ditech Holding Corporation,DHCP US Equity,DHCP UA Equity,#VALUE!,#VALUE!,null,null,null,null,3.143,11515.1042,#N/A N/A,5.2103,#N/A Limit: Monthly,
DNI,Dividend and Income Fund,DNI US Equity,DNI UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.06,#N/A N/A,#N/A N/A,12.425,27/06/2017 17:00,13.7975
DLB,Dolby Laboratories,DLB US Equity,DLB UA Equity,3.5593,3.5593,3.5593,4.151315788,2.989002036,24.9846,4.546,0,0.68,62.77,27/06/2017 17:00,61.3
DG,Dollar General Corporation,DG US Equity,DG UA Equity,3.8041,3.8041,3.8041,27.61233363,4.288166785,21.4707,1.318,45.9307,1.36,99.87,27/06/2017 17:00,91.23
DM,"Dominion Energy Midstream Partners, LP",DM US Equity,DM UA Equity,4.4383,4.4383,4.4383,6.420129893,0.486862542,19.2357,1.558,#N/A N/A,0.39,13.975,27/06/2017 17:00,30.95
D,"Dominion Energy, Inc.",D US Equity,D UA Equity,0.077,0.077,0.077,17.60412194,2.480728023,19.5433,7.647,211.6343,0.77,67.85,27/06/2017 17:00,83.43
DCUD,"Dominion Energy, Inc.",DCUD US Equity,DCUD UA Equity,0.0902,0.0902,0.0902,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DRUA,"Dominion Energy, Inc.",DRUA US Equity,DRUA UA Equity,0.1124,0.1124,0.1124,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DPZ,Domino&#39;s Pizza Inc,DPZ US Equity,DPZ UA Equity,0.1159,0.1159,0.1159,null,null,42.0315,5.033,#N/A N/A,#N/A N/A,283.677,27/06/2017 17:00,180.61
UFS,Domtar Corporation,UFS US Equity,UFS UA Equity,0.2132,0.2132,0.2132,-8.651989185,1.181770197,13.7438,2.915,44.284,0.86,47.89,27/06/2017 17:00,48.24
DCI,"Donaldson Company, Inc.",DCI US Equity,DCI UA Equity,0.8422,0.8422,0.8422,17.93298147,6.987348683,27.7771,9.454,83.2031,0.54,45.85,27/06/2017 17:00,48.51
DFIN,"Donnelley Financial Solutions, Inc.",DFIN US Equity,DFIN UA Equity,0.8326,0.8326,0.8326,5.66235582,3.578218351,14.7454,2.308,296.2871,0.23,17.41,27/06/2017 17:00,19.83
LPG,Dorian LPG Ltd.,LPG US Equity,LPG UA Equity,0.7978,0.7978,0.7978,-2.108145814,0.474151689,null,5.035,#N/A N/A,-0.06,8.03,27/06/2017 17:00,7.87
DSL,DoubleLine Income Solutions Fund,DSL US Equity,DSL UA Equity,0.5511,#VALUE!,0.5511,null,null,null,0.859,#N/A N/A,#N/A N/A,20.1,27/06/2017 17:00,20.16
DBL,DoubleLine Opportunistic Credit Fund,DBL US Equity,DBL UA Equity,0.3485,#VALUE!,0.3485,null,null,null,0.296,#N/A N/A,#N/A N/A,20.8813,27/06/2017 17:00,22.69
PLOW,"Douglas Dynamics, Inc.",PLOW US Equity,PLOW UA Equity,0.3897,0.316,0.3897,24.47295248,4.18244131,25.5634,1.758,110.2817,-0.08,47.95,27/06/2017 17:00,37.25
DEI,"Douglas Emmett, Inc.",DEI US Equity,DEI UA Equity,#VALUE!,#VALUE!,null,4.792588696,2.763903627,76.6241,2.623,166.6997,0.17,39.97,27/06/2017 17:00,40.57
DOV,Dover Corporation,DOV US Equity,DOV UA Equity,0.1765,0.1765,0.1765,18.35574721,2.532603145,19.1986,6.405,77.7901,0.85,73.8,27/06/2017 17:00,97.19
DDE,Dover Downs Gaming & Entertainment Inc,DDE US Equity,DDE UA Equity,0.325,0.325,0.325,-1.00856145,0.480138587,55,0.101,17.0943,-0.01,1.7,27/06/2017 17:00,1.0101
DVD,"Dover Motorsports, Inc.",DVD US Equity,DVD UA Equity,0.0447,0.0447,0.0447,17.95831204,1.38398055,19.1395,0.88,0.861,-0.03,2.25,27/06/2017 17:00,2.1
DWDP,DowDuPont Inc.,DWDP US Equity,DWDP UA Equity,0.3959,0.3959,0.3959,null,1.500814969,26.9458,2.431,34.0322,0.47,67.31,27/06/2017 17:00,70.79
DPS,"Dr Pepper Snapple Group, Inc",DPS US Equity,DPS UA Equity,0.008,0.008,0.008,45.22333832,8.857974651,20.1195,9.018,181.7377,0.88,119.91,27/06/2017 17:00,94.16
RDY,Dr. Reddy&#39;s Laboratories Ltd,RDY US Equity,RDY UA Equity,0.2134,0.2134,0.2134,7.829016702,null,null,1.859,#N/A N/A,#N/A N/A,32.97,27/06/2017 17:00,35.3
DRD,DRDGOLD Limited,DRD US Equity,DRD UA Equity,0.2387,0.2387,0.2387,5.426092228,null,null,1.802,#N/A N/A,#N/A N/A,2.72,27/06/2017 17:00,2.94
DCF,Dreyfus Alcentra,DCF US Equity,DCF UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.117,#N/A N/A,#N/A N/A,9.15,27/06/2017 17:00,9.92
DHF,Dreyfus High Yield Strategies Fund,DHF US Equity,DHF UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.192,#N/A N/A,#N/A N/A,3.1401,27/06/2017 17:00,3.29
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc.",DMB US Equity,DMB UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.067,#N/A N/A,#N/A N/A,12.4398,27/06/2017 17:00,13.25
DSM,"Dreyfus Strategic Municipal Bond Fund, Inc.",DSM US Equity,DSM UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.666,#N/A N/A,#N/A N/A,7.555,27/06/2017 17:00,8.49
LEO,"Dreyfus Strategic Municipals, Inc.",LEO US Equity,LEO UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.109,#N/A N/A,#N/A N/A,7.63,27/06/2017 17:00,8.8
DRQ,"Dril-Quip, Inc.",DRQ US Equity,DRQ UA Equity,5.6809,5.6809,5.6809,-8.089543808,1.456654121,79.7284,11.349,0.1533,-0.2,51.5,27/06/2017 17:00,45.6
DS,Drive Shack Inc.,DS US Equity,DS UA Equity,1.4931,1.4931,1.4931,-42.75219447,5.412193432,null,3.914,120.7951,-0.26,7.7302,27/06/2017 17:00,5.45
DS^B,Drive Shack Inc.,DS^B US Equity,DS^B UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DS^C,Drive Shack Inc.,DS^C US Equity,DS^C UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DS^D,Drive Shack Inc.,DS^D US Equity,DS^D UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DSW,DSW Inc.,DSW US Equity,DSW UA Equity,0.7266,0.7266,0.7266,7.201299369,2.143909478,13.4069,3.167,0,0.3,26.41,27/06/2017 17:00,21.06
DTE,DTE Energy Company,DTE US Equity,DTE UA Equity,0.9445,0.9445,0.9445,11.4767844,1.872829907,18.7438,4.277,130.7241,2.01,103.49,27/06/2017 17:00,114.01
DTJ,DTE Energy Company,DTJ US Equity,DTJ UA Equity,0.9799,0.9799,0.9799,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DTQ,DTE Energy Company,DTQ US Equity,DTQ UA Equity,0.9261,0.9261,0.9261,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DTV,DTE Energy Company,DTV US Equity,DTV UA Equity,0.8263,0.8263,0.8263,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DTW,DTE Energy Company,DTW US Equity,DTW UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DTY,DTE Energy Company,DTY US Equity,DTY UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DCO,Ducommun Incorporated,DCO US Equity,DCO UA Equity,0.0174,0.0174,0.0174,8.90922444,1.531994247,23.4152,3.282,84.7974,0.23,34.3897,27/06/2017 17:00,26.94
DPG,Duff & Phelps Global Utility Income Fund Inc.,DPG US Equity,DPG UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.123,#N/A N/A,#N/A N/A,14.27,27/06/2017 17:00,15.97
DSE,Duff & Phelps Select Energy MLP Fund Inc.,DSE US Equity,DSE UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.992,#N/A N/A,#N/A N/A,5.56,27/06/2017 17:00,5.72
DNP,"Duff & Phelps Utilities Income, Inc.",DNP US Equity,DNP UA Equity,#VALUE!,#VALUE!,null,null,null,null,5.035,#N/A N/A,#N/A N/A,10.99,27/06/2017 17:00,11.29
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",DTF US Equity,DTF UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.116,#N/A N/A,#N/A N/A,13.33,27/06/2017 17:00,14.21
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",DUC US Equity,DUC UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.038,#N/A N/A,#N/A N/A,8.5299,27/06/2017 17:00,8.92
DUK,Duke Energy Corporation,DUK US Equity,DUK UA Equity,0.0324,0.0324,0.0324,7.142254523,1.315381382,19.1634,6.331,133.8773,0.88,78.81,27/06/2017 17:00,87.13
DUKH,Duke Energy Corporation,DUKH US Equity,DUKH UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DRE,Duke Realty Corporation,DRE US Equity,DRE UA Equity,#VALUE!,#VALUE!,null,40.92623826,2.263347767,47.88,2.775,55.0668,0.2,29.175,27/06/2017 17:00,27.81
DNB,Dun & Bradstreet Corporation (The),DNB US Equity,DNB UA Equity,0.2092,0.2092,0.2092,null,null,16.1788,1.731,#N/A N/A,1.73,125.96,27/06/2017 17:00,120.92
DXC,DXC Technology Company,DXC US Equity,DXC UA Equity,0.2523,0.2523,0.2523,13.8402561,1.680687451,13.1452,1.759,62.1265,1.96,79.44,27/06/2017 17:00,94.79
DY,"Dycom Industries, Inc.",DY US Equity,DY UA Equity,0.3111,0.3111,0.3111,null,3.972931832,18.4039,3.152,101.8245,0.55,97.7659,27/06/2017 17:00,110.18
DLNG,Dynagas LNG Partners LP,DLNG US Equity,DLNG UA Equity,0.283,0.283,0.283,2.884103464,1.235609772,14.5921,2.701,306.1232,0.1364,8.24,27/06/2017 17:00,11.36
DLNG^A,Dynagas LNG Partners LP,DLNG^A US Equity,DLNG^A UA Equity,0.3036,0.3036,0.3036,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DX,"Dynex Capital, Inc.",DX US Equity,DX UA Equity,0.2688,0.2688,0.2688,15.10457667,0.925726356,9.3214,1.874,661.5783,0.74,6.46,27/06/2017 17:00,7.18
DX^A,"Dynex Capital, Inc.",DX^A US Equity,DX^A UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DX^B,"Dynex Capital, Inc.",DX^B US Equity,DX^B UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DD^A,E.I. du Pont de Nemours and Company,DD^A US Equity,DD^A UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
DD^B,E.I. du Pont de Nemours and Company,DD^B US Equity,DD^B UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
ELF,"e.l.f. Beauty, Inc.",ELF US Equity,ELF UA Equity,0.3028,0.3028,0.3028,18.39378387,4.291813871,52.4103,14.511,77.822,0.01,16.98,27/06/2017 17:00,20.91
EGIF,Eagle Growth and Income Opportunities Fund,EGIF US Equity,EGIF UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.044,#N/A N/A,#N/A N/A,15.3799,27/06/2017 17:00,16.605
EXP,Eagle Materials Inc,EXP US Equity,EXP UA Equity,0.0286,0.0286,0.0286,19.58170872,3.63885907,21.4076,4.669,43.7982,0.77,106.83,27/06/2017 17:00,112.25
ECC           ,Eagle Point Credit Company Inc.,ECC            US Equity,ECC            UA Equity,0.051,0.051,0.051,null,null,null,0.253,#N/A N/A,0.3801,18.1248,27/06/2017 17:00,18.49
ECCA,Eagle Point Credit Company Inc.,ECCA US Equity,ECCA UA Equity,0.1403,0.1403,0.1403,null,null,null,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Real Time,#N/A Limit: Monthly,
ECCB,Eagle Point Credit Company Inc.,ECCB US Equity,ECCB UA Equity,0.1241,0.1241,0.1241,null,null,null,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Real Time,#N/A Limit: Monthly,
ECCX,Eagle Point Credit Company Inc.,ECCX US Equity,ECCX UA Equity,0.0519,0.0519,0.0519,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
ECCY,Eagle Point Credit Company Inc.,ECCY US Equity,ECCY UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
ESTE,"Earthstone Energy, Inc.",ESTE US Equity,ESTE UA Equity,0.1699,0.1699,0.1699,-2.978895417,1.851734215,15.5795,3.506,10.403,0.19,8.72,27/06/2017 17:00,9.78
DEA,"Easterly Government Properties, Inc.",DEA US Equity,DEA UA Equity,#VALUE!,#VALUE!,null,0.727645502,1.319578338,209.5,6.961,87.046,0.03,19.43,27/06/2017 17:00,21.67
EGP,"EastGroup Properties, Inc.",EGP US Equity,EGP UA Equity,#VALUE!,#VALUE!,null,13.72552279,4.258614836,48.375,4.961,143.7805,0.83,95.705,27/06/2017 17:00,90.75
EMN,Eastman Chemical Company,EMN US Equity,EMN UA Equity,0.0956,0.0956,0.0956,27.38328756,2.575259921,11.5781,5.179,123.9495,2.03,101.17,27/06/2017 17:00,93.02
KODK,Eastman Kodak Company,KODK US Equity,KODK UA Equity,0.747,0.747,0.747,null,null,8.5403,11.751,#N/A N/A,-0.7,4.125,27/06/2017 17:00,3.35
KODK.WS,Eastman Kodak Company,KODK.WS US Equity,KODK.WS UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
KODK.WS.A,Eastman Kodak Company,KODK.WS.A US Equity,KODK.WS.A UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
ETN,"Eaton Corporation, PLC",ETN US Equity,ETN UA Equity,0.1533,0.1533,0.1533,18.72917952,1.917857997,16.9294,5.498,45.6294,1.11,76.52,27/06/2017 17:00,77.76
ETV,Eaton Vance Corporation,ETV US Equity,ETV UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.398,#N/A N/A,#N/A N/A,15.52,27/06/2017 17:00,15.36
ETW,Eaton Vance Corporation,ETW US Equity,ETW UA Equity,#VALUE!,#VALUE!,null,null,null,null,4.188,#N/A N/A,#N/A N/A,11.8688,27/06/2017 17:00,11.9
EV,Eaton Vance Corporation,EV US Equity,EV UA Equity,#VALUE!,#VALUE!,null,34.47523192,5.771447814,21.5845,3.177,56.6843,0.84,52.75,27/06/2017 17:00,56.61
EOI,Eaton Vance Enhance Equity Income Fund,EOI US Equity,EOI UA Equity,#VALUE!,#VALUE!,null,null,null,null,2.469,#N/A N/A,#N/A N/A,15.59,27/06/2017 17:00,14.29
EOS,Eaton Vance Enhanced Equity Income Fund II,EOS US Equity,EOS UA Equity,#VALUE!,#VALUE!,null,null,null,null,2.218,#N/A N/A,#N/A N/A,17.1,27/06/2017 17:00,15.085
EFT,Eaton Vance Floating Rate Income Trust,EFT US Equity,EFT UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.605,#N/A N/A,#N/A N/A,14.61,27/06/2017 17:00,14.44
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,EFL US Equity,EFL UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.433,#N/A N/A,#N/A N/A,9.3774,27/06/2017 17:00,9.2801
EFF,Eaton vance Floating-Rate Income Plus Fund,EFF US Equity,EFF UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.656,#N/A N/A,#N/A N/A,16.74,27/06/2017 17:00,16.33
EHT,Eaton Vance High Income 2021 Target Term Trust,EHT US Equity,EHT UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.014,#N/A N/A,#N/A N/A,9.79,27/06/2017 17:00,10.031
ETX           ,Eaton Vance Municipal Income 2028 Term Trust,ETX            US Equity,ETX            UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.228,#N/A N/A,#N/A N/A,19.82,27/06/2017 17:00,20.26
EOT,Eaton Vance Municipal Income Trust,EOT US Equity,EOT UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.2,#N/A N/A,#N/A N/A,20.39,27/06/2017 17:00,22.92
EVN,Eaton Vance Municipal Income Trust,EVN US Equity,EVN UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.673,#N/A N/A,#N/A N/A,11.91,27/06/2017 17:00,12.27
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,ETJ US Equity,ETJ UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.431,#N/A N/A,#N/A N/A,9.59,27/06/2017 17:00,9.28
EFR,Eaton Vance Senior Floating-Rate Fund,EFR US Equity,EFR UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.534,#N/A N/A,#N/A N/A,14.54,27/06/2017 17:00,14.44
EVF,Eaton Vance Senior Income Trust,EVF US Equity,EVF UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.093,#N/A N/A,#N/A N/A,6.45,27/06/2017 17:00,6.47
EVG,Eaton Vance Short Diversified Income Fund,EVG US Equity,EVG UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.031,#N/A N/A,#N/A N/A,12.933,27/06/2017 17:00,14.06
EVT,Eaton Vance Tax Advantaged Dividend Income Fund,EVT US Equity,EVT UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.98,#N/A N/A,#N/A N/A,23.205,27/06/2017 17:00,22.81
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,ETO US Equity,ETO UA Equity,#VALUE!,#VALUE!,null,null,null,null,1.06,#N/A N/A,#N/A N/A,24.39,27/06/2017 17:00,24.96
EXD,Eaton Vance Tax-Advantaged Bond,EXD US Equity,EXD UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.232,#N/A N/A,#N/A N/A,9.06,27/06/2017 17:00,10.89
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,ETG US Equity,ETG UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.545,#N/A N/A,#N/A N/A,17.1,27/06/2017 17:00,17.39
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,ETB US Equity,ETB UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.271,#N/A N/A,#N/A N/A,16.13,27/06/2017 17:00,16.8
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,ETY US Equity,ETY UA Equity,#VALUE!,#VALUE!,null,null,null,null,1.986,#N/A N/A,#N/A N/A,12.23,27/06/2017 17:00,12.2
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,EXG US Equity,EXG UA Equity,#VALUE!,#VALUE!,null,null,null,null,2.564,#N/A N/A,#N/A N/A,9.325,27/06/2017 17:00,9.38
ECT,ECA Marcellus Trust I,ECT US Equity,ECT UA Equity,#VALUE!,#VALUE!,null,10.07957341,0.697590779,6.3475,0.365,0,0.059,2,27/06/2017 17:00,2.1
ECR,Eclipse Resources Corporation,ECR US Equity,ECR UA Equity,0.1375,0.1375,0.1375,-3.36655208,0.765106125,null,2.237,84.8721,-0.01,1.765,27/06/2017 17:00,2.3
ECL,Ecolab Inc.,ECL US Equity,ECL UA Equity,0.0441,0.0441,0.0441,20.8488314,5.251906801,29.6139,7.114,97.5595,0.86,140.15,27/06/2017 17:00,134.85
EC,Ecopetrol S.A.,EC US Equity,EC UA Equity,#VALUE!,#VALUE!,null,18.55906919,null,null,7.007,#N/A N/A,#N/A N/A,20.08,27/06/2017 17:00,12.62
EIX,Edison International,EIX US Equity,EIX UA Equity,0.0226,0.0226,0.0226,3.545711037,1.719311562,18.2098,3.76,118.9808,0.67,62.4354,27/06/2017 17:00,68.58
EDR,Education Realty Trust Inc.,EDR US Equity,EDR UA Equity,#VALUE!,#VALUE!,null,3.964460835,1.691421565,85.8442,7.844,52.6058,0.53,41.38,27/06/2017 17:00,36.1
EW,Edwards Lifesciences Corporation,EW US Equity,EW UA Equity,1.1406,1.1406,1.1406,18.70282546,9.719971069,33.5778,4.482,32.4922,0.98,148.91,27/06/2017 17:00,115.57
EHIC,eHi Car Services Limited,EHIC US Equity,EHIC UA Equity,#VALUE!,#VALUE!,null,2.412179902,1.465764131,50.8547,3.443,#N/A N/A,#N/A N/A,13.13,27/06/2017 17:00,11.41
EP^C,El Paso Corporation,EP^C US Equity,EP^C UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
EE,El Paso Electric Company,EE US Equity,EE UA Equity,0.0071,0.0071,0.0071,8.6920069,2.123302306,18.6643,6.232,127.6469,-0.17,58.4,27/06/2017 17:00,58.1
EGO,Eldorado Gold Corporation,EGO US Equity,EGO UA Equity,4.4617,4.4617,4.4617,-0.141346237,null,null,6.142,16.342,#N/A N/A,1.03,27/06/2017 17:00,1.21
ELVT,"Elevate Credit, Inc.",ELVT US Equity,ELVT UA Equity,2.4894,2.4894,2.4894,1.399459752,1.303467888,57.9266,4.865,477.7788,0.55,8.51,27/06/2017 17:00,7.34
LLY,Eli Lilly and Company,LLY US Equity,LLY UA Equity,0.4148,0.4148,0.4148,7.872400028,6.392883877,24.1023,3.515,80.5239,1.16,85.39,27/06/2017 17:00,86.71
ELLI,"Ellie Mae, Inc.",ELLI US Equity,ELLI UA Equity,3.6572,3.6572,3.6572,6.275861783,4.828087399,96.5781,14.957,0,0.06,106.6,27/06/2017 17:00,91.15
EFC,Ellington Financial LLC,EFC US Equity,EFC UA Equity,#VALUE!,#VALUE!,null,6.458307095,0.80760987,15.4243,0.459,372.5221,0.67,15.7224,27/06/2017 17:00,14.8
EARN,Ellington Residential Mortgage REIT,EARN US Equity,EARN UA Equity,#VALUE!,#VALUE!,null,3.004047896,0.831631923,33.9479,10.613,24.8873,-0.3,11.47,27/06/2017 17:00,12.83
AKO.A,Embotelladora Andina S.A.,AKO.A US Equity,AKO.A UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
AKO.B,Embotelladora Andina S.A.,AKO.B US Equity,AKO.B UA Equity,#VALUE!,#VALUE!,null,null,null,null,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Limit: Monthly,
ERJ,Embraer S.A.,ERJ US Equity,ERJ UA Equity,1.0813,1.0813,1.0813,4.793305116,null,null,3.026,102.7881,#N/A N/A,25.08,27/06/2017 17:00,20.09
EME,"EMCOR Group, Inc.",EME US Equity,EME UA Equity,0.2331,0.2331,0.2331,14.26305482,2.648197628,19.1646,1.448,18.1544,0.95,78.14,27/06/2017 17:00,81.09
EEX,"Emerald Expositions Events, Inc.",EEX US Equity,EEX UA Equity,0.1189,0.1189,0.1189,13.54929226,1.871360714,25.7234,2.087,69.3021,0.52,20.51,27/06/2017 17:00,20.64
EMES,Emerge Energy Services LP,EMES US Equity,EMES UA Equity,0.1887,0.1887,0.1887,12.02810006,3.860593423,18.1832,4.191,357.8192,0.05,7.3899,27/06/2017 17:00,7.21
EBS,"Emergent Biosolutions, Inc.",EBS US Equity,EBS UA Equity,1.8833,1.8833,1.8833,9.009994644,2.873969581,20.3846,7.12,1.5283,-0.1,52.61,27/06/2017 17:00,45.48
